  @relation pacmanfilterDist
    @ATTRIBUTE posx NUMERIC 
    @ATTRIBUTE posy NUMERIC
    @ATTRIBUTE LegalWest {0, 1}
    @ATTRIBUTE LegalEast {0, 1}
    @ATTRIBUTE LegalNorth {0, 1}
    @ATTRIBUTE LegalSouth {0, 1}
    @ATTRIBUTE GUno {True, False}
    @ATTRIBUTE GDos {True, False}
    @ATTRIBUTE GTres {True, False}
    @ATTRIBUTE GCuatro {True, False}
    @ATTRIBUTE posxGUno NUMERIC 
    @ATTRIBUTE posyGUno NUMERIC
    @ATTRIBUTE posxGDos NUMERIC 
    @ATTRIBUTE posyGDos NUMERIC
    @ATTRIBUTE posxGTres NUMERIC 
    @ATTRIBUTE posyGTres NUMERIC
    @ATTRIBUTE posxGCuatro NUMERIC 
    @ATTRIBUTE posyGCuatro NUMERIC
    @ATTRIBUTE class {West, East, South, North, Stop}

@data
1,11,0,1,0,1,True,True,True,True,6,5,6,9,8,11,14,6,Stop
1,11,0,1,0,1,True,True,True,True,6,4,6,10,9,11,14,6,Stop
1,11,0,1,0,1,True,True,True,True,7,4,6,11,9,11,14,6,Stop
1,11,0,1,0,1,True,True,True,True,7,5,7,11,10,11,14,5,Stop
1,11,0,1,0,1,True,True,True,True,7,5,8,11,9,11,14,4,Stop
1,11,0,1,0,1,True,True,True,True,7,5,8,11,8,11,14,3,Stop
1,11,0,1,0,1,True,True,True,True,7,4,7,11,7,11,14,3,East
2,11,1,1,0,0,True,True,True,True,7,3,7,11,8,11,13,3,East
3,11,1,1,0,0,True,True,True,True,6,3,7,11,8,11,14,3,East
4,11,1,1,0,0,True,True,True,True,6,4,6,11,7,11,14,4,East
5,11,1,1,0,1,True,False,True,True,7,4,3,1,8,11,15,4,East
6,11,1,1,0,1,True,False,True,True,7,5,3,1,8,11,15,5,East
7,11,1,1,0,0,True,False,True,True,6,5,3,1,8,11,15,4,East
8,11,1,1,0,0,True,False,False,True,6,4,3,1,5,1,16,4,East
9,11,1,1,0,0,True,False,False,True,6,3,3,1,5,1,17,4,East
10,11,1,1,0,1,True,False,False,True,6,4,3,1,5,1,17,3,South
10,10,0,1,1,1,True,False,False,True,6,3,3,1,5,1,17,3,South
