@relation pacmanfilterFantasmasVivos
    @ATTRIBUTE posx NUMERIC 
    @ATTRIBUTE posy NUMERIC
    @ATTRIBUTE LegalWest {0, 1}
    @ATTRIBUTE LegalEast {0, 1}
    @ATTRIBUTE LegalNorth {0, 1}
    @ATTRIBUTE LegalSouth {0, 1}
    @ATTRIBUTE posxGUno NUMERIC 
    @ATTRIBUTE posyGUno NUMERIC
    @ATTRIBUTE posxGDos NUMERIC 
    @ATTRIBUTE posyGDos NUMERIC
    @ATTRIBUTE posxGTres NUMERIC 
    @ATTRIBUTE posyGTres NUMERIC
    @ATTRIBUTE posxGCuatro NUMERIC 
    @ATTRIBUTE posyGCuatro NUMERIC
    @ATTRIBUTE distGUno NUMERIC 
    @ATTRIBUTE distGDos NUMERIC
    @ATTRIBUTE distGTres NUMERIC 
    @ATTRIBUTE distGCuatro NUMERIC
    @ATTRIBUTE class {West, East, South, North, Stop}

@data
3,8,1,1,1,1,1,6,7,8,5,1,14,7,4,4,0,12,East
4,8,1,1,1,1,1,5,7,8,5,1,14,7,6,3,0,11,East
5,8,1,1,1,1,1,5,6,8,5,1,14,7,7,1,0,11,East
6,8,1,1,1,1,2,5,3,1,5,1,15,7,7,0,0,11,East
7,8,1,1,1,1,1,5,3,1,5,1,16,7,9,0,0,11,East
8,8,1,1,1,1,1,6,3,1,5,1,17,7,9,0,0,9,East
9,8,1,1,1,1,1,6,3,1,5,1,17,8,10,0,0,9,South
9,7,1,1,1,1,1,7,3,1,5,1,17,7,8,0,0,9,South
9,6,1,1,1,1,2,7,3,1,5,1,18,7,8,0,0,11,West
8,6,0,1,1,1,1,7,3,1,5,1,18,8,8,0,0,12,Stop
8,6,0,1,1,1,1,8,3,1,5,1,18,8,9,0,0,11,Stop
8,6,0,1,1,1,1,8,3,1,5,1,17,8,9,0,0,12,Stop
8,6,0,1,1,1,1,8,3,1,5,1,17,9,9,0,0,11,Stop
8,6,0,1,1,1,1,8,3,1,5,1,17,8,9,0,0,11,North
8,7,1,1,1,1,1,7,3,1,5,1,17,8,7,0,0,10,North
8,8,1,1,1,1,1,7,3,1,5,1,17,8,8,0,0,10,West
7,8,1,1,1,1,2,7,3,1,5,1,17,9,6,0,0,10,West
6,8,1,1,1,1,2,8,3,1,5,1,17,8,4,0,0,12,West
5,8,1,1,1,1,2,7,3,1,5,1,18,8,4,0,0,12,West
4,8,1,1,1,1,2,7,3,1,5,1,17,8,3,0,0,14,West
3,8,1,1,1,1,1,7,3,1,5,1,17,9,3,0,0,15,West
2,8,1,1,1,1,1,6,3,1,5,1,17,9,3,0,0,16,West
1,8,0,1,1,1,1,5,3,1,5,1,17,9,3,0,0,18,South
1,7,0,1,1,1,1,6,3,1,5,1,18,9,1,0,0,18,South
1,6,0,0,1,1,1,1,3,1,5,1,18,8,0,0,0,18,South
1,5,0,1,1,1,1,1,3,1,5,1,18,7,0,0,0,18,South
1,4,0,1,1,1,1,1,3,1,5,1,17,7,0,0,0,18,South
1,3,0,1,1,0,1,1,3,1,5,1,16,7,0,0,0,18,Stop
1,3,0,1,1,0,1,1,3,1,5,1,15,7,0,0,0,19,East
2,3,1,1,1,0,1,1,3,1,5,1,16,7,0,0,0,19,East
3,3,1,1,1,0,1,1,3,1,5,1,17,7,0,0,0,17,East
4,3,1,1,1,0,1,1,3,1,5,1,16,7,0,0,0,15,East
5,3,1,1,1,0,1,1,3,1,5,1,15,7,0,0,0,15,East
6,3,1,1,1,0,1,1,3,1,5,1,16,7,0,0,0,13,East
7,3,1,1,1,0,1,1,3,1,5,1,15,7,0,0,0,13,East
8,3,1,1,1,0,1,1,3,1,5,1,15,8,0,0,0,13,East
9,3,1,1,1,0,1,1,3,1,5,1,15,9,0,0,0,12,East
10,3,1,1,1,0,1,1,3,1,5,1,15,9,0,0,0,11,East
11,3,1,0,1,0,1,1,3,1,5,1,15,9,0,0,0,9,Stop
11,3,1,0,1,0,1,1,3,1,5,1,15,8,0,0,0,10,North
11,4,1,0,1,1,1,1,3,1,5,1,16,8,0,0,0,8,North
11,5,1,1,0,1,1,1,3,1,5,1,15,8,0,0,0,7,Stop
11,5,1,1,0,1,1,1,3,1,5,1,15,8,0,0,0,6,Stop
11,5,1,1,0,1,1,1,3,1,5,1,15,7,0,0,0,6,East
12,5,1,1,0,0,1,1,3,1,5,1,15,7,0,0,0,6,East
13,5,1,1,0,1,1,1,3,1,5,1,15,8,0,0,0,4,East
14,5,1,1,1,1,1,1,3,1,5,1,15,7,0,0,0,4,East
15,5,1,1,0,1,1,1,3,1,5,1,16,7,0,0,0,2,East
16,5,1,1,0,1,1,1,3,1,5,1,15,7,0,0,0,2,East
17,5,1,1,0,1,1,1,3,1,5,1,16,7,0,0,0,4,East
18,5,1,0,1,1,1,1,3,1,5,1,16,8,0,0,0,6,Stop
18,5,1,0,1,1,1,1,3,1,5,1,16,9,0,0,0,5,Stop
18,5,1,0,1,1,1,1,3,1,5,1,16,8,0,0,0,4,Stop
18,5,1,0,1,1,1,1,3,1,5,1,16,7,0,0,0,5,North
18,6,0,0,1,1,1,1,3,1,5,1,16,8,0,0,0,4,North
18,7,1,0,1,1,1,1,3,1,5,1,16,8,0,0,0,4,North
18,8,1,0,1,1,1,1,3,1,5,1,15,8,0,0,0,3,West
17,8,1,1,1,1,1,1,3,1,5,1,15,8,0,0,0,2,West
16,8,1,1,1,1,1,1,3,1,5,1,15,8,0,0,0,2,West
1,11,0,1,0,1,6,5,6,9,8,11,14,6,11,7,7,18,Stop
1,11,0,1,0,1,6,4,6,10,9,11,14,6,12,6,8,18,Stop
1,11,0,1,0,1,7,4,6,11,9,11,14,6,13,5,8,19,Stop
1,11,0,1,0,1,7,5,7,11,10,11,14,5,12,6,9,20,Stop
1,11,0,1,0,1,7,5,8,11,9,11,14,4,12,7,8,21,Stop
1,11,0,1,0,1,7,5,8,11,8,11,14,3,12,7,7,21,Stop
1,11,0,1,0,1,7,4,7,11,7,11,14,3,13,6,6,20,East
2,11,1,1,0,0,7,3,7,11,8,11,13,3,13,5,6,20,East
3,11,1,1,0,0,6,3,7,11,8,11,14,3,11,4,5,18,East
4,11,1,1,0,0,6,4,6,11,7,11,14,4,9,2,3,18,East
5,11,1,1,0,1,7,4,3,1,8,11,15,4,9,0,3,16,East
6,11,1,1,0,1,7,5,3,1,8,11,15,5,7,0,2,16,East
7,11,1,1,0,0,6,5,3,1,8,11,15,4,7,0,1,16,East
8,11,1,1,0,0,6,4,3,1,5,1,16,4,9,0,0,16,East
9,11,1,1,0,0,6,3,3,1,5,1,17,4,11,0,0,16,East
10,11,1,1,0,1,6,4,3,1,5,1,17,3,11,0,0,15,South
10,10,0,1,1,1,6,3,3,1,5,1,17,3,11,0,0,14,South
10,9,1,1,1,1,5,3,3,1,5,1,17,3,11,0,0,13,South
10,8,1,0,1,1,6,3,3,1,5,1,17,3,9,0,0,11,South
10,7,1,0,1,1,5,3,3,1,5,1,17,4,9,0,0,11,South
10,6,1,0,1,1,4,3,3,1,5,1,18,4,9,0,0,10,South
10,5,1,1,1,1,4,4,3,1,5,1,18,4,7,0,0,9,South
10,4,1,1,1,1,5,4,3,1,5,1,18,4,5,0,0,8,West
9,4,1,1,1,1,5,5,3,1,5,1,18,4,5,0,0,10,West
8,4,1,1,1,1,5,4,3,1,5,1,18,5,3,0,0,10,West
7,4,1,1,1,1,4,4,3,1,5,1,17,5,3,0,0,10,West
6,4,1,1,1,1,4,4,3,1,5,1,17,4,2,0,0,10,West
5,4,1,1,1,1,1,1,3,1,5,1,16,4,0,0,0,12,West
4,4,1,1,1,1,1,1,3,1,5,1,17,4,0,0,0,12,East
5,4,1,1,1,1,1,1,3,1,5,1,16,4,0,0,0,12,East
6,4,1,1,1,1,1,1,3,1,5,1,16,3,0,0,0,11,East
7,4,1,1,1,1,1,1,3,1,5,1,16,3,0,0,0,10,East
8,4,1,1,1,1,1,1,3,1,5,1,16,3,0,0,0,10,East
9,4,1,1,1,1,1,1,3,1,5,1,17,3,0,0,0,9,East
10,4,1,1,1,1,1,1,3,1,5,1,17,3,0,0,0,9,North
10,5,1,1,1,1,1,1,3,1,5,1,18,3,0,0,0,9,East
11,5,1,1,0,1,1,1,3,1,5,1,17,3,0,0,0,9,East
12,5,1,1,0,0,1,1,3,1,5,1,18,3,0,0,0,7,East
13,5,1,1,0,1,1,1,3,1,5,1,17,3,0,0,0,7,East
14,5,1,1,1,1,1,1,3,1,5,1,18,3,0,0,0,6,East
15,5,1,1,0,1,1,1,3,1,5,1,18,3,0,0,0,4,East
16,5,1,1,0,1,1,1,3,1,5,1,18,4,0,0,0,3,East
17,5,1,1,0,1,1,1,3,1,5,1,18,4,0,0,0,3,East
18,5,1,0,1,1,1,1,3,1,5,1,18,3,0,0,0,1,Stop
1,11,0,1,0,1,6,5,6,9,8,11,14,6,11,7,7,18,Stop
1,11,0,1,0,1,7,5,6,9,7,11,14,6,12,7,6,19,Stop
1,11,0,1,0,1,6,5,6,8,8,11,14,5,11,8,7,19,Stop
1,11,0,1,0,1,6,5,5,8,8,11,14,5,11,7,7,18,Stop
1,11,0,1,0,1,6,4,5,8,7,11,14,6,12,7,6,18,Stop
1,11,0,1,0,1,7,4,4,8,7,11,14,6,13,6,6,18,Stop
1,11,0,1,0,1,7,5,4,8,8,11,14,6,12,6,7,17,East
2,11,1,1,0,0,7,5,4,7,7,11,14,7,11,6,5,16,East
3,11,1,1,0,0,6,5,5,7,6,11,14,7,9,6,3,16,East
4,11,1,1,0,0,5,5,4,7,5,11,15,7,7,4,1,16,East
5,11,1,1,0,1,5,4,4,7,5,1,16,7,7,5,0,15,East
6,11,1,1,0,1,5,3,4,7,5,1,16,7,9,6,0,13,East
7,11,1,1,0,0,5,3,3,7,5,1,15,7,10,8,0,11,East
8,11,1,1,0,0,5,4,3,7,5,1,14,7,10,9,0,11,East
9,11,1,1,0,0,5,5,3,8,5,1,15,7,10,9,0,11,East
10,11,1,1,0,1,6,5,3,9,5,1,16,7,10,9,0,9,South
10,10,0,1,1,1,7,5,3,8,5,1,15,7,8,9,0,9,South
10,9,1,1,1,1,6,5,4,8,5,1,16,7,8,7,0,8,South
10,8,1,0,1,1,6,4,4,7,5,1,16,7,8,7,0,6,South
10,7,1,0,1,1,6,3,3,7,5,1,15,7,8,7,0,6,West
9,7,1,1,1,1,5,3,2,7,5,1,15,8,8,7,0,6,West
8,7,1,1,1,1,5,4,1,7,5,1,14,8,6,7,0,8,West
7,7,1,1,1,0,5,4,1,8,5,1,14,9,5,7,0,8,West
6,7,1,1,1,0,5,4,1,7,5,1,13,9,4,5,0,9,West
5,7,1,1,1,0,6,4,1,6,5,1,13,9,4,5,0,9,West
4,7,1,1,1,0,5,4,1,5,5,1,12,9,4,5,0,9,West
3,7,1,1,1,0,4,4,2,5,5,1,11,9,4,3,0,10,West
2,7,1,1,1,0,4,5,2,4,5,1,11,9,4,3,0,11,West
1,7,0,1,1,1,5,5,3,4,5,1,11,9,6,5,0,13,South
1,6,0,0,1,1,5,5,3,3,5,1,12,9,5,5,0,13,South
1,5,0,1,1,1,4,5,2,3,5,1,11,9,3,3,0,15,South
1,4,0,1,1,1,3,5,2,4,5,1,12,9,3,1,0,17,East
2,4,1,1,1,1,4,5,3,1,5,1,13,9,3,0,0,16,East
3,4,1,1,1,1,4,5,3,1,5,1,13,9,2,0,0,14,East
4,4,1,1,1,1,5,5,3,1,5,1,12,9,2,0,0,12,East
5,4,1,1,1,1,5,5,3,1,5,1,11,9,1,0,0,12,East
6,4,1,1,1,1,5,4,3,1,5,1,12,9,1,0,0,10,North
6,5,1,1,0,1,5,5,3,1,5,1,11,9,1,0,0,10,Stop
6,5,1,1,0,1,5,4,3,1,5,1,11,10,2,0,0,10,Stop
6,5,1,1,0,1,5,3,3,1,5,1,11,10,3,0,0,9,West
5,5,1,1,0,1,5,3,3,1,5,1,10,10,2,0,0,9,West
4,5,1,1,0,1,5,3,3,1,5,1,10,9,3,0,0,11,West
3,5,1,1,0,1,6,3,3,1,5,1,10,10,5,0,0,13,South
3,4,1,1,1,1,6,4,3,1,5,1,10,11,3,0,0,13,South
3,3,1,1,1,0,6,4,3,1,5,1,9,11,4,0,0,15,East
4,3,1,1,1,0,6,5,3,1,5,1,10,11,4,0,0,14,East
5,3,1,1,1,0,7,5,3,1,5,1,10,11,4,0,0,12,East
6,3,1,1,1,0,7,4,3,1,5,1,9,11,2,0,0,10,East
7,3,1,1,1,0,7,5,3,1,5,1,8,11,2,0,0,10,North
7,4,1,1,1,1,6,5,3,1,5,1,9,11,2,0,0,9,North
7,5,1,1,0,1,6,5,3,1,5,1,9,11,1,0,0,9,East
8,5,1,1,1,1,7,5,3,1,5,1,10,11,1,0,0,7,East
9,5,1,1,1,1,6,5,3,1,5,1,10,10,3,0,0,6,East
10,5,1,1,1,1,6,5,3,1,5,1,10,10,4,0,0,4,East
11,5,1,1,0,1,7,5,3,1,5,1,10,9,4,0,0,6,East
12,5,1,1,0,0,7,5,3,1,5,1,10,10,5,0,0,7,East
13,5,1,1,0,1,7,4,3,1,5,1,10,10,7,0,0,7,East
14,5,1,1,1,1,7,5,3,1,5,1,11,10,7,0,0,7,North
14,6,0,0,1,1,8,5,3,1,5,1,11,9,7,0,0,6,North
14,7,1,1,1,1,8,6,3,1,5,1,11,9,7,0,0,6,West
13,7,1,1,1,0,9,6,3,1,5,1,11,10,5,0,0,6,West
12,7,0,1,1,0,10,6,3,1,5,1,10,10,3,0,0,4,Stop
12,7,0,1,1,0,9,6,3,1,5,1,10,9,4,0,0,3,Stop
12,7,0,1,1,0,10,6,3,1,5,1,10,8,3,0,0,4,Stop
12,7,0,1,1,0,10,7,3,1,5,1,10,9,2,0,0,5,North
12,8,0,1,1,1,10,8,3,1,5,1,10,10,2,0,0,5,North
12,9,1,1,0,1,10,9,3,1,5,1,10,11,2,0,0,3,West
11,9,1,1,1,0,10,10,3,1,5,1,10,10,2,0,0,3,West
10,9,1,1,1,1,1,1,3,1,5,1,10,11,0,0,0,2,West
9,9,1,1,0,1,1,1,3,1,5,1,10,11,0,0,0,4,South
9,8,1,1,1,1,1,1,3,1,5,1,11,11,0,0,0,4,South
9,7,1,1,1,1,1,1,3,1,5,1,10,11,0,0,0,6,South
9,6,1,1,1,1,1,1,3,1,5,1,11,11,0,0,0,6,North
9,7,1,1,1,1,1,1,3,1,5,1,11,10,0,0,0,5,East
10,7,1,0,1,1,1,1,3,1,5,1,11,10,0,0,0,4,Stop
10,7,1,0,1,1,1,1,3,1,5,1,11,10,0,0,0,3,North
10,8,1,0,1,1,1,1,3,1,5,1,10,10,0,0,0,3,North
10,9,1,1,1,1,1,1,3,1,5,1,10,11,0,0,0,1,North
1,11,0,1,0,1,6,5,6,9,8,11,14,6,11,7,7,18,Stop
1,11,0,1,0,1,6,5,6,8,9,11,14,6,11,8,8,18,Stop
1,11,0,1,0,1,7,5,7,8,10,11,14,6,12,9,9,17,Stop
1,11,0,1,0,1,7,4,7,7,10,11,14,7,13,10,9,17,Stop
1,11,0,1,0,1,7,3,7,7,10,10,14,7,14,10,10,17,Stop
1,11,0,1,0,1,8,3,7,7,11,10,14,7,15,10,11,18,Stop
1,11,0,1,0,1,8,3,6,7,11,10,15,7,15,9,11,19,Stop
1,11,0,1,0,1,7,3,6,7,11,9,16,7,14,9,12,18,East
2,11,1,1,0,0,7,4,6,8,10,9,16,8,12,7,10,16,East
3,11,1,1,0,0,8,4,6,9,10,9,16,9,12,5,9,15,East
4,11,1,1,0,0,8,3,6,8,11,9,16,9,12,5,9,14,East
5,11,1,1,0,1,8,3,6,8,11,10,16,9,11,4,7,12,East
6,11,1,1,0,1,8,4,6,8,11,10,15,9,9,3,6,11,South
6,10,1,0,1,1,8,4,5,8,11,11,15,9,8,3,6,9,South
6,9,1,1,1,1,8,4,5,8,11,11,14,9,7,2,7,7,South
6,8,1,1,1,1,8,3,5,7,11,11,13,9,7,2,8,7,East
7,8,1,1,1,1,7,3,6,7,11,11,13,8,5,2,7,7,East
8,8,1,1,1,1,8,3,6,8,11,11,14,8,5,2,6,7,East
9,8,1,1,1,1,8,4,6,7,11,11,14,7,5,4,5,5,West
8,8,1,1,1,1,7,4,7,7,12,11,13,7,5,2,7,7,West
7,8,1,1,1,1,7,4,8,7,12,11,14,7,4,2,8,8,West
6,8,1,1,1,1,6,4,8,7,12,11,14,7,4,3,9,8,West
5,8,1,1,1,1,5,4,7,7,13,11,14,8,4,3,11,8,East
6,8,1,1,1,1,5,5,7,8,14,11,13,8,4,1,11,7,South
6,7,1,1,1,0,6,5,6,8,14,11,13,8,2,1,12,9,Stop
6,7,1,1,1,0,6,4,6,8,13,11,13,9,3,1,11,8,East
7,7,1,1,1,0,6,5,6,9,12,11,12,9,3,3,9,6,East
8,7,1,1,1,1,5,5,6,8,13,11,12,8,5,3,9,5,South
8,6,0,1,1,1,4,5,6,8,14,11,12,8,5,4,11,6,South
8,5,1,1,1,1,3,5,5,8,14,11,12,8,5,6,12,8,South
8,4,1,1,1,1,3,4,6,8,15,11,13,8,5,6,14,9,North
8,5,1,1,1,1,3,4,6,9,16,11,13,8,6,6,14,9,North
8,6,0,1,1,1,2,4,6,9,17,11,14,8,8,5,14,8,North
8,7,1,1,1,1,3,4,5,9,17,11,14,8,8,5,13,6,North
8,8,1,1,1,1,4,4,6,9,18,11,14,7,8,3,13,8,West
7,8,1,1,1,1,4,4,6,9,18,11,14,6,7,2,14,8,West
6,8,1,1,1,1,4,5,6,9,18,11,14,7,5,1,15,10,North
6,9,1,1,1,1,3,5,3,1,18,10,15,7,7,0,13,10,North
6,10,1,0,1,1,2,5,3,1,18,10,15,8,9,0,12,12,North
6,11,1,1,0,1,1,5,3,1,18,11,16,8,11,0,12,14,Stop
