@relation 'pacman-data-weka.filters.unsupervised.attribute.Remove-R1-2,19,21-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C17-Llast'

@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute posxrelGUno numeric
@attribute posyrelGUno numeric
@attribute posxrelGDos numeric
@attribute posyrelGDos numeric
@attribute posxrelGTres numeric
@attribute posyrelGTres numeric
@attribute posxrelGCuatro numeric
@attribute posyrelGCuatro numeric
@attribute class {West,East,South,North,Stop}

@data
1,1,0,1,4,0,0,0,-4,0,-7,-3,-5,-3,-3,-3,West
1,1,0,1,3,0,0,0,-3,0,-6,-3,-4,-3,-2,-3,West
1,1,0,1,2,0,0,0,-2,0,-5,-3,-3,-3,-1,-3,West
0,1,1,0,6,6,6,5,0,6,0,6,1,5,2,4,East
1,1,1,0,7,6,5,5,-1,6,0,6,0,5,1,3,East
1,1,1,0,8,6,7,4,-2,6,0,6,-2,5,0,4,North
1,1,1,1,6,6,5,2,-2,4,-1,5,-2,3,0,3,North
1,1,1,1,4,6,3,2,-2,2,-1,5,-2,1,0,1,North
1,1,1,1,3,4,3,1,-2,1,-1,3,-2,-1,1,0,North
1,1,1,1,3,4,3,3,-2,-1,-1,3,-2,-1,1,-1,North
1,1,1,1,5,3,5,5,-2,-3,-1,2,-2,-3,2,-2,North
1,1,1,1,5,2,7,7,-1,-4,-1,1,-2,-5,2,-4,North
1,1,0,1,5,0,7,9,-1,-4,0,-9,-2,-5,2,-6,West
1,1,0,1,5,0,5,11,1,-4,1,-9,0,-5,3,-7,South
1,1,1,1,5,0,3,9,2,-3,1,-8,0,-3,4,-6,South
1,1,1,1,5,0,3,7,2,-3,1,-7,0,-3,4,-4,South
1,1,1,1,4,0,2,7,2,-2,1,-6,0,-2,4,-2,South
1,1,1,1,3,0,1,6,2,-1,1,-5,0,-1,5,-1,South
1,1,1,1,2,0,0,6,2,0,1,-4,3,-4,5,0,East
1,1,1,1,2,0,0,4,1,-1,0,-4,2,-4,4,1,East
1,1,1,1,2,0,0,4,0,-2,-1,-4,1,-4,2,1,East
1,1,1,1,3,0,0,4,-1,-2,-2,-4,0,-4,1,2,North
1,1,1,1,5,0,0,2,-2,-3,-2,-5,0,-5,2,1,North
1,1,1,1,6,0,0,2,-2,-4,-2,-6,0,-6,2,-1,East
1,1,1,1,6,0,0,2,-2,-4,-3,-6,-1,-6,1,0,East
1,0,1,1,6,0,0,2,-2,-4,-4,-6,-2,-6,0,1,South
1,0,1,1,6,0,0,4,-3,-3,-4,-5,-2,-5,-1,2,North
1,0,1,1,8,0,0,4,-4,-4,-4,-6,-2,-6,-1,2,North
1,0,1,1,8,0,0,2,-3,-5,-4,-7,-2,-7,-1,2,West
1,1,1,1,8,0,0,2,-3,-5,-3,-7,-1,-7,0,1,West
1,1,1,1,6,0,0,2,-1,-5,-2,-7,0,-7,1,2,North
1,1,1,1,8,0,0,0,-2,-6,-2,-8,0,-8,0,1,East
1,1,1,1,9,0,0,0,-3,-6,-3,-8,-1,-8,1,-8,East
1,0,1,1,10,0,0,0,-4,-6,-4,-8,-2,-8,0,-8,South
1,0,1,1,8,0,0,0,-4,-4,-4,-7,-2,-7,0,-7,South
1,0,1,1,6,0,0,0,-4,-2,-4,-6,-2,-6,0,-6,South
1,0,1,1,4,0,0,0,-3,-1,-4,-5,-2,-5,0,-5,South
1,0,1,1,2,0,0,0,-2,0,-4,-4,-2,-4,0,-4,West
1,1,1,1,2,0,0,0,-2,0,-3,-4,-1,-4,1,-4,West
0,1,1,0,7,6,7,6,0,7,1,5,1,6,2,4,North
0,1,1,1,6,5,6,5,0,6,1,4,1,5,2,3,North
0,1,1,1,5,4,5,4,0,5,1,3,1,4,2,2,North
0,1,1,1,4,3,4,3,0,4,1,2,1,3,2,1,North
0,1,1,1,3,2,3,2,0,3,1,1,1,2,2,0,North
0,1,1,1,2,1,2,3,0,2,1,0,1,1,2,-1,North
0,1,1,1,1,2,1,4,0,1,1,-1,1,0,2,-2,North
