@relation pacman-data-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C24-L2-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C27-L5

@attribute posx numeric
@attribute posy numeric
@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute GUno {True,False}
@attribute GDos {True,False}
@attribute GTres {True,False}
@attribute GCuatro {True,False}
@attribute posxGUno numeric
@attribute posyGUno numeric
@attribute posxGDos numeric
@attribute posyGDos numeric
@attribute posxGTres numeric
@attribute posyGTres numeric
@attribute posxGCuatro numeric
@attribute posyGCuatro numeric
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute fantasmaCercano numeric
@attribute movaleatorio {0,1}
@attribute distComida numeric
@attribute score numeric
@attribute class {West,East,South,North,Stop}
@attribute scoreNext numeric

@data
9,4,1,1,1,1,False,False,True,False,1,1,3,1,12,5,7,1,0,0,4,0,0,0,-1,357,East,356
10,4,1,1,1,1,False,False,True,False,1,1,3,1,11,5,7,1,0,0,2,0,0,0,-1,356,East,355
3,11,1,1,0,0,True,True,True,True,6,5,6,9,8,11,14,6,9,5,5,16,0,0,12,-7,East,-8
6,10,1,0,1,1,True,True,True,True,6,5,6,9,8,11,14,6,5,1,3,12,0,0,8,-23,North,-24
8,11,1,1,0,0,True,True,False,True,6,5,6,9,5,1,14,6,8,4,0,11,0,0,7,169,West,168
7,11,1,1,0,0,True,True,False,True,6,5,6,9,5,1,14,6,7,3,0,12,0,0,8,161,West,160
9,11,1,1,0,0,True,True,False,True,6,5,6,9,5,1,14,6,9,5,0,10,0,0,6,153,East,152
7,11,1,1,0,0,True,True,False,True,6,5,6,9,5,1,14,6,7,3,0,12,0,0,8,129,West,128
6,11,1,1,0,1,True,True,False,True,6,5,6,9,5,1,14,6,6,2,0,13,0,0,9,121,South,120
5,10,0,1,1,1,True,True,False,True,6,5,6,9,5,1,14,6,6,2,0,13,0,0,9,113,East,112
5,10,0,1,1,1,True,True,False,True,6,5,6,9,5,1,14,6,6,2,0,13,0,0,9,105,South,104
5,9,1,1,1,1,True,True,False,True,6,5,6,9,5,1,14,6,5,1,0,12,0,0,8,104,East,303
6,9,1,1,1,1,True,False,False,True,6,5,3,1,5,1,14,6,4,0,0,11,0,0,7,303,South,302
6,8,1,1,1,1,True,False,False,True,6,5,3,1,5,1,14,6,3,0,0,10,0,0,6,302,South,301
2,8,1,1,1,1,True,False,False,True,6,5,3,1,5,1,14,6,7,0,0,14,0,0,10,294,West,293
2,9,1,1,0,1,True,False,False,True,6,5,3,1,5,1,14,6,8,0,0,15,0,0,11,262,West,261
3,7,1,1,1,0,True,False,False,True,6,5,3,1,5,1,14,6,5,0,0,12,0,0,8,230,West,229
3,8,1,1,1,1,True,False,False,True,6,5,3,1,5,1,14,6,6,0,0,13,0,0,9,222,West,221
2,8,1,1,1,1,True,False,False,True,6,5,3,1,5,1,14,6,7,0,0,14,0,0,10,221,East,220
3,8,1,1,1,1,True,False,False,True,6,5,3,1,5,1,14,6,6,0,0,13,0,0,9,220,East,219
4,8,1,1,1,1,True,False,False,True,6,5,3,1,5,1,14,6,5,0,0,12,0,0,8,219,East,218
5,8,1,1,1,1,True,False,False,True,6,5,3,1,5,1,14,6,4,0,0,11,0,0,7,218,East,217
