@relation 'pacman-data-weka.filters.unsupervised.attribute.Remove-R26,28-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C26-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C24-L1'

@attribute posx numeric
@attribute posy numeric
@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute GUno {True,False}
@attribute GDos {True,False}
@attribute GTres {True,False}
@attribute GCuatro {True,False}
@attribute posxGUno numeric
@attribute posyGUno numeric
@attribute posxGDos numeric
@attribute posyGDos numeric
@attribute posxGTres numeric
@attribute posyGTres numeric
@attribute posxGCuatro numeric
@attribute posyGCuatro numeric
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute fantasmaCercano numeric
@attribute movaleatorio {0,1}
@attribute distComida numeric
@attribute class {West,East,South,North,Stop}

@data
9,4,1,1,1,1,False,False,True,True,1,1,3,1,13,3,14,7,0,0,5,8,0,1,11,West
8,3,1,1,1,0,False,False,True,True,1,1,3,1,14,4,14,7,0,0,7,9,0,1,13,West
7,3,1,1,1,0,False,False,True,True,1,1,3,1,14,3,13,8,0,0,7,11,0,1,14,North
7,4,1,1,1,1,False,False,True,True,1,1,3,1,13,3,13,8,0,0,7,11,0,1,13,North
7,5,1,1,0,1,False,False,True,True,1,1,3,1,14,3,14,8,0,0,9,11,0,1,12,West
7,5,1,1,0,1,False,False,True,True,1,1,3,1,13,3,14,8,0,0,8,10,0,1,12,South
7,4,1,1,1,1,False,False,True,True,1,1,3,1,13,3,14,8,0,0,7,12,0,1,13,North
7,5,1,1,0,1,False,False,True,True,1,1,3,1,13,4,14,9,0,0,7,11,0,1,12,South
7,4,1,1,1,1,False,False,True,True,1,1,3,1,13,5,14,9,0,0,7,13,0,1,13,South
7,3,1,1,1,0,False,False,True,True,1,1,3,1,13,5,14,10,0,0,8,13,0,1,14,East
8,3,1,1,1,0,False,False,True,True,1,1,3,1,13,5,14,8,0,0,7,10,0,1,13,West
6,3,1,1,1,0,False,False,True,True,1,1,3,1,14,5,12,8,0,0,10,11,0,1,15,West
5,3,1,1,1,0,False,False,True,True,1,1,3,1,14,4,12,8,0,0,10,13,0,1,16,North
5,4,1,1,1,1,False,False,True,True,1,1,3,1,14,5,13,8,0,0,10,11,0,1,15,North
5,5,1,1,0,1,False,False,True,True,1,1,3,1,14,6,12,8,0,0,10,11,0,1,14,East
6,5,1,1,0,1,False,False,True,True,1,1,3,1,14,7,13,8,0,0,10,11,0,1,13,West
5,5,1,1,0,1,False,False,True,True,1,1,3,1,15,7,14,8,0,0,12,11,0,1,14,East
6,5,1,1,0,1,False,False,True,True,1,1,3,1,14,7,13,8,0,0,10,11,0,1,13,West
4,5,1,1,0,1,False,False,True,True,1,1,3,1,13,8,14,9,0,0,12,14,0,1,15,East
5,5,1,1,0,1,False,False,True,True,1,1,3,1,14,8,14,9,0,0,12,13,0,1,14,East
6,5,1,1,0,1,False,False,True,True,1,1,3,1,13,8,14,9,0,0,10,11,0,1,13,East
7,5,1,1,0,1,False,False,True,True,1,1,3,1,13,9,14,8,0,0,10,11,0,1,12,South
7,4,1,1,1,1,False,False,True,True,1,1,3,1,13,8,15,8,0,0,10,13,0,1,13,West
6,4,1,1,1,1,False,False,True,True,1,1,3,1,12,8,15,9,0,0,10,15,0,1,14,South
6,3,1,1,1,0,False,False,True,True,1,1,3,1,12,9,16,9,0,0,12,17,0,1,15,East
7,3,1,1,1,0,False,False,True,True,1,1,3,1,12,8,18,9,0,0,10,16,0,1,14,West
6,3,1,1,1,0,False,False,True,True,1,1,3,1,12,7,17,9,0,0,10,16,0,1,15,West
5,3,1,1,1,0,False,False,True,True,1,1,3,1,12,7,17,8,0,0,11,16,0,1,16,East
6,3,1,1,1,0,False,False,True,True,1,1,3,1,12,8,16,8,0,0,11,16,0,1,15,West
5,3,1,1,1,0,False,False,True,True,1,1,3,1,12,9,16,9,0,0,13,16,0,1,16,East
6,3,1,1,1,0,False,False,True,True,1,1,3,1,13,9,16,8,0,0,13,14,0,1,15,East
6,3,1,1,1,0,False,False,True,True,1,1,3,1,13,9,16,8,0,0,13,16,0,1,15,West
5,3,1,1,1,0,False,False,True,True,1,1,3,1,13,9,17,8,0,0,14,17,0,1,16,East
6,3,1,1,1,0,False,False,True,True,1,1,3,1,13,9,17,8,0,0,13,15,0,1,15,North
6,4,1,1,1,1,False,False,True,True,1,1,3,1,12,9,16,8,0,0,11,15,0,1,14,North
6,5,1,1,0,1,False,False,True,True,1,1,3,1,12,8,16,9,0,0,9,13,0,1,13,West
5,5,1,1,0,1,False,False,True,True,1,1,3,1,13,7,15,8,0,0,10,13,0,1,14,South
5,4,1,1,1,1,False,False,True,True,1,1,3,1,13,8,15,8,0,0,12,15,0,1,15,East
6,4,1,1,1,1,False,False,True,True,1,1,3,1,13,8,15,9,0,0,11,13,0,1,14,East
7,4,1,1,1,1,False,False,True,True,1,1,3,1,13,9,14,9,0,0,11,13,0,1,13,East
