@relation 'pacman-data-weka.filters.unsupervised.attribute.Remove-R11-18,20'

@attribute posx numeric
@attribute posy numeric
@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute score numeric
@attribute scoreNext numeric

@data
13,3,1,1,1,0,7,0,3,1,181,380
12,3,1,1,1,0,6,0,1,0,380,579
11,3,1,1,1,0,6,0,0,0,579,578
10,3,1,1,1,0,5,0,0,0,578,577
9,3,1,1,1,0,3,0,0,0,577,576
8,3,1,1,1,0,2,0,0,0,576,575
7,3,1,1,1,0,2,0,0,0,575,574
6,3,1,1,1,0,2,0,0,0,574,573
6,4,1,1,0,1,2,0,0,0,573,572
6,4,1,1,0,1,3,0,0,0,572,571
1,6,0,1,0,1,7,7,13,15,0,-1
1,6,0,1,0,1,7,7,13,15,-1,-2
1,6,0,1,0,1,7,7,13,15,-2,-3
2,6,1,1,0,0,6,6,12,14,-3,-4
3,6,1,1,0,0,5,5,11,13,-4,-5
4,6,1,1,0,0,4,4,10,12,-5,-6
5,6,1,1,0,0,3,3,9,11,-6,-7
6,6,1,1,0,0,2,2,8,10,-7,-8
7,6,1,1,0,1,3,1,7,9,-8,191
8,6,1,1,0,0,4,0,6,8,191,190
9,6,1,1,0,0,5,0,5,7,190,189
10,6,1,1,0,0,6,0,4,6,189,188
11,6,1,1,0,0,7,0,3,5,188,187
12,6,1,1,0,0,8,0,4,4,187,186
13,6,1,1,0,0,9,0,5,3,186,185
14,6,1,1,0,1,10,0,6,2,185,184
15,6,1,1,0,0,11,0,7,1,184,383
16,6,1,1,0,1,12,0,8,0,383,382
16,5,0,0,1,1,11,0,7,0,382,381
16,4,1,1,1,1,10,0,6,0,381,380
16,3,1,1,1,0,11,0,5,0,380,379
15,3,1,1,1,0,10,0,4,0,379,378
14,3,1,1,1,0,9,0,3,0,378,377
13,3,1,1,1,0,8,0,2,0,377,376
12,3,1,1,1,0,7,0,1,0,376,575
11,3,1,1,1,0,6,0,0,0,575,574
11,4,1,1,0,1,5,0,0,0,574,573
10,4,1,1,0,1,4,0,0,0,573,572
9,4,1,1,0,1,3,0,0,0,572,571
8,4,1,1,0,1,2,0,0,0,571,570
1,3,0,1,1,0,7,6,7,6,0,-1
1,3,0,1,1,0,6,5,8,5,-1,-2
1,3,0,1,1,0,7,6,7,6,-2,-3
1,3,0,1,1,0,6,6,6,5,-3,-4
2,3,1,1,1,0,7,6,5,5,-4,95
3,3,1,1,1,0,8,6,7,4,95,94
3,4,1,1,1,1,6,6,5,2,94,193
3,5,1,1,1,1,4,6,3,2,193,192
3,6,1,1,1,1,3,4,3,1,192,191
3,7,1,1,1,1,3,4,3,3,191,190
3,8,1,1,1,1,5,3,5,5,190,289
3,9,1,1,1,1,5,2,7,7,289,488
3,10,1,1,0,1,5,0,7,9,488,487
2,10,1,1,0,1,5,0,5,11,487,486
2,9,1,1,1,1,5,0,3,9,486,485
2,8,1,1,1,1,5,0,3,7,485,484
2,7,1,1,1,1,4,0,2,7,484,483
2,6,1,1,1,1,3,0,1,6,483,682
2,5,1,1,1,1,2,0,0,6,682,681
3,5,1,1,1,1,2,0,0,4,681,680
4,5,1,1,1,1,2,0,0,4,680,679
5,5,1,1,1,1,3,0,0,4,679,678
5,6,1,1,1,1,5,0,0,2,678,677
5,7,1,1,1,1,6,0,0,2,677,676
