@relation 'pacman-data-weka.filters.unsupervised.attribute.Remove-R26,28-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C26-L5-weka.filters.unsupervised.attribute.Remove-R7-10,23-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C19-L2'

@attribute posx numeric
@attribute posy numeric
@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute posxGUno numeric
@attribute posyGUno numeric
@attribute posxGDos numeric
@attribute posyGDos numeric
@attribute posxGTres numeric
@attribute posyGTres numeric
@attribute posxGCuatro numeric
@attribute posyGCuatro numeric
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute movaleatorio {0,1}
@attribute distComida numeric
@attribute class {West,East,South,North,Stop}

@data
6,8,1,1,1,1,6,5,3,1,5,1,14,6,3,0,0,10,0,6,South
4,8,1,1,1,1,6,5,3,1,5,1,14,6,5,0,0,12,0,8,West
3,8,1,1,1,1,6,5,3,1,5,1,14,6,6,0,0,13,0,9,East
4,8,1,1,1,1,6,5,3,1,5,1,14,6,5,0,0,12,0,8,East
5,8,1,1,1,1,6,5,3,1,5,1,14,6,4,0,0,11,0,7,East
6,8,1,1,1,1,6,5,3,1,5,1,14,6,3,0,0,10,0,6,South
6,8,1,1,1,1,6,5,3,1,5,1,14,6,3,0,0,10,0,6,East
7,8,1,1,1,1,6,5,3,1,5,1,14,6,4,0,0,9,0,5,West
6,8,1,1,1,1,6,5,3,1,5,1,14,6,3,0,0,10,0,6,South
8,6,0,1,1,1,6,5,3,1,5,1,14,6,3,0,0,6,0,2,South
8,5,1,1,1,1,6,5,3,1,5,1,14,6,2,0,0,7,0,3,West
7,5,1,1,0,1,6,5,3,1,5,1,14,6,1,0,0,8,0,4,West
9,3,1,1,1,0,1,1,3,1,5,1,14,6,0,0,0,8,0,4,West
9,3,1,1,1,0,1,1,3,1,5,1,14,6,0,0,0,8,0,4,North
9,4,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,7,0,3,East
10,4,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,6,0,2,East
10,7,1,0,1,1,1,1,3,1,5,1,14,6,0,0,0,5,0,7,South
9,8,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,7,0,7,South
9,7,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,6,0,8,East
9,8,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,7,0,7,West
8,8,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,8,0,8,East
9,8,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,7,0,7,East
9,8,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,7,0,7,South
9,7,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,6,0,8,East
9,5,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,6,0,10,North
9,6,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,5,0,9,East
7,8,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,9,0,9,East
8,8,1,1,1,1,1,1,3,1,5,1,14,6,0,0,0,8,0,8,East
