@relation pacman-data
    @ATTRIBUTE posx NUMERIC 
    @ATTRIBUTE posy NUMERIC
    @attribute LegalWest {0,1}
    @attribute LegalEast {0,1}
    @attribute LegalNorth {0,1}
    @attribute LegalSouth {0,1}
    @attribute distGUno numeric
    @attribute distGDos numeric
    @attribute distGTres numeric
    @attribute distGCuatro numeric
    @attribute posxrelGUno numeric
    @attribute posyrelGUno numeric
    @attribute posxrelGDos numeric
    @attribute posyrelGDos numeric
    @attribute posxrelGTres numeric
    @attribute posyrelGTres numeric
    @attribute posxrelGCuatro numeric
    @attribute posyrelGCuatro numeric
    @ATTRIBUTE score NUMERIC
    @ATTRIBUTE class {West, East, South, North, Stop}
    @ATTRIBUTE scoreNext NUMERIC
@data
10,5,1,1,1,1,0,0,0,5,-9,-4,-7,-4,-5,-4,4,1,669,East,668
11,5,1,1,0,1,0,0,0,4,-10,-4,-8,-4,-6,-4,3,1,668,East,667
12,5,1,1,0,0,0,0,0,3,-11,-4,-9,-4,-7,-4,2,1,667,East,666
13,5,1,1,0,1,0,0,0,2,-12,-4,-10,-4,-8,-4,1,1,666,East,665
12,10,1,1,1,1,11,9,5,3,-7,-4,-7,2,1,-4,1,2,0,Stop,-1
12,10,1,1,1,1,12,9,4,2,-7,-5,-7,2,0,-4,1,2,-1,Stop,-2
12,10,1,1,1,1,13,10,5,1,-7,-6,-8,2,0,-5,1,1,-2,East,197
13,10,1,1,1,1,13,11,6,0,-7,-6,-9,2,-1,-5,-6,-9,197,North,196
13,11,1,1,1,1,13,10,8,0,-7,-6,-9,1,-2,-6,-6,-10,196,West,195
12,11,1,1,1,1,11,9,6,0,-5,-6,-8,1,0,-6,-5,-10,195,West,194
11,11,1,1,1,1,11,7,7,0,-4,-7,-7,0,1,-6,-4,-10,194,West,193
10,11,1,1,1,1,11,7,7,0,-3,-8,-7,0,1,-6,-3,-10,193,West,192
9,11,1,1,1,1,9,5,7,0,-2,-7,-5,0,2,-5,-2,-10,192,West,191
8,11,1,1,1,1,9,5,9,0,-1,-8,-5,0,3,-6,-1,-10,191,West,190
7,11,1,1,1,1,9,3,11,0,-1,-8,-3,0,5,-6,0,-10,190,West,189
6,11,1,1,1,1,8,2,13,0,0,-8,-2,0,7,-6,1,-10,189,West,188
5,11,1,1,1,0,9,1,15,0,1,-8,-1,0,8,-7,2,-10,188,West,387
4,11,1,1,1,0,9,0,17,0,1,-8,-1,-10,9,-8,3,-10,387,East,386
5,11,1,1,1,0,9,0,17,0,-1,-8,-2,-10,9,-8,2,-10,386,East,385
6,11,1,1,1,1,9,0,17,0,-2,-7,-3,-10,9,-8,1,-10,385,South,384
6,10,0,1,1,1,8,0,16,0,-2,-6,-3,-9,9,-7,1,-9,384,South,383
6,9,1,1,1,1,6,0,14,0,-2,-4,-3,-8,8,-6,1,-8,383,West,382
5,9,1,1,0,1,4,0,15,0,-1,-3,-2,-8,9,-6,2,-8,382,South,381
5,8,1,1,1,1,2,0,14,0,-1,-1,-2,-7,9,-5,2,-7,381,South,380
5,7,1,1,1,1,2,0,12,0,-1,1,-2,-6,8,-4,2,-6,380,West,579
4,7,1,1,1,1,0,0,12,0,-3,-6,-1,-6,9,-3,3,-6,579,East,578
5,7,1,1,1,1,0,0,10,0,-4,-6,-2,-6,8,-2,2,-6,578,East,577
6,7,1,1,1,1,0,0,8,0,-5,-6,-3,-6,7,-1,1,-6,577,East,576
7,7,1,1,1,1,0,0,7,0,-6,-6,-4,-6,6,-1,0,-6,576,East,575
8,7,1,1,1,1,0,0,5,0,-7,-6,-5,-6,4,-1,-1,-6,575,East,574
9,7,1,1,1,1,0,0,4,0,-8,-6,-6,-6,3,-1,-2,-6,574,East,573
12,10,1,1,1,1,11,9,5,3,-7,-4,-7,2,1,-4,1,2,0,Stop,-1
12,10,1,1,1,1,11,9,5,3,-7,-4,-7,2,1,-4,1,2,-1,Stop,-2
12,10,1,1,1,1,11,9,5,3,-7,-4,-7,2,1,-4,1,2,-2,Stop,-3
12,10,1,1,1,1,11,9,5,3,-7,-4,-7,2,1,-4,1,2,-3,East,-4
13,10,1,1,1,1,12,10,4,2,-8,-4,-8,2,0,-4,0,2,-4,North,-5
13,11,1,1,1,1,13,9,5,1,-8,-5,-8,1,0,-5,0,1,-5,North,194
13,12,1,1,1,1,14,8,6,0,-8,-6,-8,0,0,-6,-6,-11,194,West,193
12,12,1,1,1,1,13,7,7,0,-7,-6,-7,0,1,-6,-5,-11,193,West,192
11,12,1,1,1,1,12,6,8,0,-6,-6,-6,0,2,-6,-4,-11,192,West,191
10,12,1,1,1,1,11,5,9,0,-5,-6,-5,0,3,-6,-3,-11,191,West,190
9,12,1,1,1,1,10,4,10,0,-4,-6,-4,0,4,-6,-2,-11,190,West,189
8,12,1,1,1,1,9,3,11,0,-3,-6,-3,0,5,-6,-1,-11,189,West,188
7,12,1,1,1,1,8,2,12,0,-2,-6,-2,0,6,-6,0,-11,188,West,187
6,12,1,1,1,1,7,1,13,0,-1,-6,-1,0,7,-6,1,-11,187,West,386
5,12,1,1,1,1,6,0,14,0,0,-6,-2,-11,8,-6,2,-11,386,South,385
5,11,1,1,1,0,5,0,13,0,0,-5,-2,-10,8,-5,2,-10,385,East,384
6,11,1,1,1,1,6,0,12,0,-1,-5,-3,-10,7,-5,1,-10,384,South,383
6,10,0,1,1,1,5,0,11,0,-1,-4,-3,-9,7,-4,1,-9,383,South,382
6,9,1,1,1,1,4,0,10,0,-1,-3,-3,-8,7,-3,1,-8,382,West,381
5,9,1,1,0,1,3,0,11,0,0,-3,-2,-8,8,-3,2,-8,381,South,380
5,8,1,1,1,1,2,0,10,0,0,-2,-2,-7,8,-2,2,-7,380,South,379
5,7,1,1,1,1,1,0,9,0,0,-1,-2,-6,8,-1,2,-6,379,South,578
5,6,1,1,1,1,0,0,8,0,-4,-5,-2,-5,8,0,2,-5,578,East,577
6,6,1,1,1,1,0,0,7,0,-5,-5,-3,-5,7,0,1,-5,577,East,576
7,6,1,1,1,1,0,0,6,0,-6,-5,-4,-5,6,0,0,-5,576,East,575
8,6,1,1,1,1,0,0,5,0,-7,-5,-5,-5,5,0,-1,-5,575,East,574
9,6,1,1,1,1,0,0,4,0,-8,-5,-6,-5,4,0,-2,-5,574,East,573
10,6,1,1,1,1,0,0,3,0,-9,-5,-7,-5,3,0,-3,-5,573,East,572
11,6,1,1,1,1,0,0,2,0,-10,-5,-8,-5,2,0,-4,-5,572,East,571
1,6,0,1,0,1,7,7,13,15,5,-2,7,0,10,-3,15,0,0,Stop,-1
1,6,0,1,0,1,7,8,13,16,5,-2,8,0,10,-3,15,0,-1,Stop,-2
1,6,0,1,0,1,6,8,12,15,4,-2,8,0,10,-2,15,-1,-2,East,-3
2,6,1,1,0,0,6,6,12,15,3,-3,6,0,9,-3,14,0,-3,East,-4
3,6,1,1,0,0,5,6,11,15,2,-3,6,0,8,-3,13,-1,-4,East,-5
4,6,1,1,0,0,3,6,10,15,0,-3,6,0,7,-3,12,-2,-5,East,-6
